t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,-0.0,5.0,2.0,1.0,1.46014711032e-32,0.0,-0.0,1.1968309468e-15,0.0,0.0,1.04266917742e-10,0.031942897778,-4.66413298859e-34,0.0,-2.86480863045e-31,0.0,1.45973478061e-07,-6.8623158489e-06,-4.74606640147e-11,1.71675047492,1.71674950443,1.71674952509,1.71675049556,0.313359939735,0.0,0.0,0.0,-3.0003109869e-16,0.0
0.02,4.17812551963e-07,5.0,2.0,0.999999948983,6.67304180492e-11,0.000319427257113,-2.46044233437e-14,6.26718126928e-05,-5.23701399946e-12,0.0,2.83602988273e-08,0.0319423487952,-4.75845291055e-12,0.00626716374374,-1.30925115671e-09,0.0,4.17059719812e-06,-5.48979838713e-05,-6.2612180494e-10,1.71675393737,1.71674617348,1.71674676344,1.71675452704,0.313354682101,-2.61849411237e-07,0.0,-0.000525761126628,-3.9277165655e-05,0.0
0.04,3.34248359125e-06,5.0,2.0,0.999999795939,1.06766590005e-09,0.000638843502078,-5.64761018802e-13,0.000250685147725,-1.67582198568e-10,0.0,2.1686656319e-07,0.0319407018783,-3.10674969981e-11,0.0125341171839,-2.09476248616e-08,0.0,1.61811325916e-05,-0.000109792831821,-2.18454143089e-09,1.71675802088,1.71674249333,1.71674478219,1.71676030874,0.313338909466,-2.09473624339e-06,0.0,-0.00105149582078,-0.000157101281873,0.0
0.06,1.12807874843e-05,4.99999999999,2.0,0.99999954089,5.4048833445e-09,0.000958237723384,-3.84502953899e-12,0.000564033696066,-1.27254885187e-09,0.0,7.25633739042e-07,0.0319379571205,-9.81299075062e-11,0.0188006500275,-1.06044029566e-07,0.0,3.61961068706e-05,-0.000164681520648,-4.70131390618e-09,1.71676223855,1.71673894798,1.71674406796,1.71676735636,0.313312622614,-7.06940269654e-06,0.0,-0.0015771787543,-0.000353450207771,0.0
0.08,2.67393303593e-05,4.99999999993,2.0,0.99999918387,1.70813251987e-08,0.00127759891077,-1.53501366328e-11,0.00100270694302,-5.36234244069e-09,0.0,1.7147147493e-06,0.0319341146736,-2.25103899859e-10,0.0250665520021,-3.35136805719e-07,0.0,6.4211644022e-05,-0.000219561252546,-8.17548712966e-09,1.7167665902,1.71673553766,1.71674462045,1.71677566921,0.313275822816,-1.67560005834e-05,0.0,-0.00210278680708,-0.000628287046385,0.0
0.1,5.22244659978e-05,4.99999999973,2.0,0.999998724929,4.17000212257e-08,0.00159691605581,-4.53575761828e-11,0.00156669016873,-1.63639114901e-08,0.0,3.34406950434e-06,0.0319291747419,-4.31125024957e-10,0.0313316128651,-8.18158967204e-07,0.0,0.000100222318991,-0.000274429567644,-1.26057468254e-08,1.71677107572,1.71673226261,1.71674643909,1.71678524639,0.313228511774,-3.27237962701e-05,0.0,-0.00262830016952,-0.000981560151376,0.0
0.12,9.02422117386e-05,4.99999999919,2.0,0.999998164129,8.64629993267e-08,0.00191617815237,-1.10468386441e-10,0.00225596444884,-4.07166443001e-08,0.0,5.7735339316e-06,0.0319231375749,-7.35298930434e-10,0.0375956224117,-1.69641754312e-06,0.0,0.000144221158763,-0.000329284456257,-1.79904170637e-08,1.71677569504,1.71672912303,1.71674952313,1.71679608683,0.313170691544,-5.65408757777e-05,0.0,-0.00315370344323,-0.00141320313631,0.0
0.14,0.000143298164395,4.99999999795,2.0,0.999997501548,1.60169885642e-07,0.00223537419707,-2.35135521634e-10,0.00307050665534,-8.79995935305e-08,0.0,9.16278902992e-06,0.0319160034568,-1.15669413405e-09,0.043858370481,-3.14256702359e-06,0.0,0.000196199643787,-0.0003841244712,-2.43274609077e-08,1.71678044812,1.7167261191,1.71675387153,1.71680818932,0.313102364437,-8.97738500936e-05,0.0,-0.00367898673924,-0.00192313488642,0.0
0.16,0.00021389741619,4.99999999542,2.0,0.999996737277,2.73216194215e-07,0.00255449318958,-4.53189236667e-10,0.00401028945747,-1.71558110782e-07,0.0,1.3671329955e-05,0.0319077726941,-1.71433481071e-09,0.0501196469597,-5.36057691433e-06,0.0,0.000256147709634,-0.000438948839233,-3.16144812006e-08,1.71678533502,1.71672325098,1.71675948303,1.71682155247,0.313023532898,-0.000133987560742,0.0,-0.00420414677314,-0.00251125957265,0.0
0.18,0.000304544470714,4.99999999073,2.0,0.999995871421,4.37591306555e-07,0.00287352413273,-8.09358904732e-10,0.00507528132268,-3.09129773402e-07,0.0,1.94584351408e-05,0.0318984456011,-2.42719359812e-09,0.0563792417836,-8.58569340557e-06,0.0,0.000324053748945,-0.00049375757275,-3.98487215495e-08,1.71679035584,1.71672051878,1.71676635608,1.71683617475,0.312934199361,-0.000190744785656,0.0,-0.00472918795664,-0.00317746666794,0.0
